window_seconds,modality,fold,class,precision,recall,f1-score,support
4.0,accel_gyro,1,eat_drink,0.3632090253838922,0.2905490097768864,0.32284122562674095,3989.0
4.0,accel_gyro,1,sports,0.5171929824561403,0.7489837398373984,0.6118721461187214,1968.0
4.0,accel_gyro,1,upper_body,0.369488188976378,0.47148957548354686,0.4143030570577199,3981.0
4.0,accel_gyro,1,accuracy,0.4237888061352408,0.4237888061352408,0.4237888061352408,0.4237888061352408
4.0,accel_gyro,1,macro avg,0.49790466550225504,0.46618833485497113,0.44674497935904056,13561.0
4.0,accel_gyro,1,weighted avg,0.44103725024553836,0.4237888061352408,0.40960720576516646,13561.0
4.0,accel_gyro,2,locomotion,0.9018302828618968,0.8017751479289941,0.8488645262333594,1352.0
4.0,accel_gyro,2,stairs,0.6625891946992865,0.8387096774193549,0.7403189066059226,775.0
4.0,accel_gyro,2,static,0.3228454172366621,0.2609176340519624,0.2885967594007949,1809.0
4.0,accel_gyro,2,eat_drink,0.4459738472126635,0.5454545454545454,0.49072321090496024,3564.0
4.0,accel_gyro,2,sports,0.8082274652147611,0.6476005816771692,0.7190527448869752,2063.0
4.0,accel_gyro,2,upper_body,0.43227091633466136,0.42238442822384425,0.4272704897858725,4110.0
4.0,accel_gyro,2,accuracy,0.5281942514444525,0.5281942514444525,0.5281942514444525,0.5281942514444525
4.0,accel_gyro,2,macro avg,0.5956228539266551,0.586140335792645,0.5858044396363141,13673.0
4.0,accel_gyro,2,weighted avg,0.5375752246355442,0.5281942514444525,0.5289189336085843,13673.0
4.0,accel_gyro,3,locomotion,0.9361483007209063,0.6743323442136498,0.7839586028460543,1348.0
4.0,accel_gyro,3,stairs,0.6749482401656315,0.4858420268256334,0.5649913344887348,671.0
4.0,accel_gyro,3,static,0.43923076923076926,0.3304398148148148,0.3771466314398943,1728.0
4.0,accel_gyro,3,eat_drink,0.6032919847328244,0.6472997184540569,0.6245215458698605,3907.0
4.0,accel_gyro,3,sports,0.6063551401869159,0.8753372908796546,0.7164310954063604,1853.0
4.0,accel_gyro,3,upper_body,0.4732301446333418,0.4599260172626387,0.4664832416208104,4055.0
4.0,accel_gyro,3,accuracy,0.5767585901784398,0.5767585901784398,0.5767585901784398,0.5767585901784398
4.0,accel_gyro,3,macro avg,0.6222007632783981,0.5788628687417414,0.5889220752786192,13562.0
4.0,accel_gyro,3,weighted avg,0.5805482261730859,0.5767585901784398,0.5712090256216249,13562.0
4.0,accel_gyro,4,locomotion,0.9027113237639554,0.7336357744653272,0.8094386843046121,1543.0
4.0,accel_gyro,4,stairs,0.6325925925925926,0.488,0.5509677419354839,875.0
4.0,accel_gyro,4,static,0.1658894070619587,0.19227799227799228,0.1781115879828326,1295.0
4.0,accel_gyro,4,eat_drink,0.411250963267403,0.4387503425596054,0.424555820737205,3649.0
4.0,accel_gyro,4,sports,0.6485034535686877,0.7511111111111111,0.6960461285008237,2250.0
4.0,accel_gyro,4,upper_body,0.4912610916913149,0.45267591674925667,0.47117988394584137,4036.0
4.0,accel_gyro,4,accuracy,0.5074736225087925,0.5074736225087925,0.5074736225087925,0.5074736225087925
4.0,accel_gyro,4,macro avg,0.5420348053243187,0.5094085228605488,0.5217166412344664,13648.0
4.0,accel_gyro,4,weighted avg,0.5204972285162651,0.5074736225087925,0.5113353722974548,13648.0
4.0,accel_gyro,5,locomotion,0.8556547619047619,0.7486979166666666,0.7986111111111112,1536.0
4.0,accel_gyro,5,stairs,0.5778781038374717,0.6900269541778976,0.628992628992629,742.0
4.0,accel_gyro,5,static,0.45948616600790515,0.2847519902020821,0.3516068052930057,1633.0
4.0,accel_gyro,5,eat_drink,0.5704918032786885,0.6906474820143885,0.6248456963303782,4031.0
4.0,accel_gyro,5,sports,0.7454900048756704,0.6856502242152467,0.714319084326092,2230.0
4.0,accel_gyro,5,upper_body,0.43025596778832326,0.43013225991949394,0.4301941049604601,3478.0
4.0,accel_gyro,5,accuracy,0.5813919413919414,0.5813919413919414,0.5813919413919414,0.5813919413919414
4.0,accel_gyro,5,macro avg,0.6065428012821368,0.5883178045326293,0.5914282385022793,13650.0
4.0,accel_gyro,5,weighted avg,0.5825595313026339,0.5813919413919414,0.5769562466981755,13650.0
6.0,accel,1,locomotion,0.8834628190899001,0.831765935214211,0.8568353067814855,957.0
6.0,accel,1,stairs,0.6859205776173285,0.6239737274220033,0.6534823731728289,609.0
6.0,accel,1,static,0.19217391304347825,0.24419889502762432,0.21508515815085158,905.0
6.0,accel,1,eat_drink,0.3724113724113724,0.42270916334661357,0.39596939727561115,2510.0
6.0,accel,1,sports,0.7150610583446404,0.7615606936416185,0.7375787263820853,1384.0
